Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Design your trip to Barcelona with Gemma,5,1,Barcelona,Spain,30, English,24,1,24
Parliament Palace & whims of a dictator,5,5,Bucharest,Romania,120, English,13,20,13
The Night Tour & Homa Experience in Okadera Temple in Japan,5,1,Asuka Village,Japan,60, English,18,30,176
Experience Vienna at home,4.75,4,Vienna,Austria,60, German and English,12,30,105
Walk live Milan streets and discover it's amazing Cathedral,5,2,Milan,Italy,45, English Spanish and Portuguese,23,30,92
Explore Amazing Chiang Mai Temples,5,1,Chiang Mai,Thailand,120, English,27,,
Intro to Writing and Publishing Books,5,144,Zirconia,United States,60, English,15,10,100
Drink and Draw,4.96,674,Lisbon,Portugal,90, English,19,50,99
The Wonder That Is The Taj Mahal & The Moguls,4.97,235,Bengaluru,India,60, English,13,100,127
"Caravaggio in Rome, A Virtual Tour",4.98,110,Rome,Italy,60, English and Italian,19,100,105
Take professional photos even with your cell phone,4.84,25,Rio de Janeiro,Brazil,90, Portuguese English and Spanish,23,30,110
Calligraphic Textures,5,12,Cluj-Napoca,Romania,90, English,19,7,71
Mastering Novel Writing with a Bestselling Author,4.98,92,Hartford,United States,60, English,32,,
Virtual coin toss in the Trevi fountain,5,4,Rome,Italy,60, English,13,30,65
The Women of Graffiti,4.96,71,Rio de Janeiro,Brazil,90, Portuguese and English,10,30,101
Complete Guide to Geisha Culture,4.97,33,Nishinomiya City,Japan,60, English and Japanese,16,30,97
Ikebana〜Learn the beauty of simplicity & heal yourself,5,20,Kyoto,Japan,60, English and Japanese,15,30,71
Plan a Venice venture with Giulia,5,9,Venice,Italy,30, English,24,8,59
Design Tips for Small Spaces,5,12,New York,United States,60, English,35,4,120
Moroccan Henna Art Discovery,5,7,Marrakesh,Morocco,60, English,17,6,111
Virtual Interior Design Consultation,,,New York,United States,60, English and Spanish,65,1,150
"Homemade Authentic Mexican Crafts, Alebrijes",4.93,81,Mexico City,Mexico,90, Spanish and English,13,100,98
Drawing by Japanese popular caricature artist,5,5,Tokyo,Japan,30, English,27,10,85
Quito Virtual Guide & Traditions,4.96,91,Quito,Ecuador,90, English and Spanish,10,30,200
Urban Art of Rome - Ostiense District,5,13,Rome,Italy,60, English and Italian,18,30,117
Give the T-shirt a second chance,5,5,Florence,Italy,75, English German and Italian,47,10,93
Impressionism 'a rebellious art',5,3,Paris,France,60, English,13,6,79
Making Comics and Stories with an Artist,4.83,6,Brussels,Belgium,60, English French and Russian,16,30,82
Photo Private Workshop,5,3,Essen,Germany,60, German Czech and English,41,3,41
"Try Sumi-e, Japanese Ink Painting",4.95,21,Saitama City,Japan,60, English and Japanese,18,30,27
"Hidden Treasure in Korea, Inje",5,12,Gangwon Province,South Korea,75, English,13,10,127
Intuitive Writing Workshop - Hollywood,4.95,143,Los Angeles,United States,60, English,29,100,65
Live Virtual walk around the Colosseum,5,25,Rome,Italy,60, English,17,30,65
