Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Practice Restorative Yoga in Costa Rica,,,San José,Costa Rica,60, English and Spanish,10,10,32
Cozy yoga & peaceful meditation with nat,,,Wroclaw,Poland,60, English,20,6,51
Flow into peace with Vinyasa Yoga,5,39,Sydney,Australia,75, English,8,10,38
Learn Blackjack From a Professional Card Counter,5,9,Fremont,United States,60, English,19,10,35
"HeartMindBody with Movement, Breath & Intuitive Reading",,,Sayulita,Mexico,175, English,19,4,25
Master Emotions Like A Boss,5,1,New York,United States,45, English,8,30,40
Yog Nidra meditation for deep relaxation and healing,5,1,Delhi,India,60, English,23,30,28
Pranic Healing Session,,,Rio de Janeiro,Brazil,60, English and Portuguese,14,1,14
Yoga for Hip Pain & Tightness-ONE-TO-ONE,4.78,9,Guangzhou,China,60, English,10,,
Body-mind connection class for everyone,5,9,New York,United States,60, English and Spanish,10,30,5
Find stillness with a private bespoke meditation session,5,2,New York,United States,45, English,15,3,75
Non verbal Playground,5,5,Hamburg,Germany,60, English German and Spanish,14,20,14
Breathwork & Meditation Morning Session,4.92,13,Carvoeira,Portugal,60, English,38,30,302
The Yogi Doc,,,Jacksonville,United States,60, English,25,10,300
K-Beauty Get Camera Ready with a tv host,4.97,182,Yongsan-gu,South Korea,60, English and Korean,17,4,119
Mind Full to Mindful with Breathwork,5,12,London,United Kingdom,45, English,16,30,153
Rejuvenating Yoga session,,,Venice,Italy,45, English and Hindi,18,15,116
Healing the Body with Intuitive Touch &Soothing Self-Massage,,,Phoenix,United States,90, English,25,6,100
Melt away stress with a guided wellness session,,,Other ,Australia,60, English,29,30,67
"Morse Code, war-themed escape room",4.95,37,Bedford,United Kingdom,90, English,20,10,241
Skincare and Natural Cosmetics Workshop,4.96,267,Milano,Italy,60, English and Italian,18,100,105
Tarot reading and Manifesting,4.94,32,Dubai,United Arab Emirates,45, English,64,100,96
Roll & Release - Self Massage Techniques,,,Byron Bay,Australia,90, English,19,30,297
Connecting through Improv,5,2,San Francisco,United States,90, English,50,100,900
Supporting immunity with herbal medicine,,,Woodbridge,United Kingdom,60, English,17,10,50
Unlock the meaning of your dreams,,,Paris,France,60, English,29,,
Get a glimpse into the future by gypsy cards reading,,,Prague,Czech Republic,45, English,51,,
Personalized Facial Yoga and Meditation,4.99,116,Barcelona,Spain,60, English and Spanish,29,29,58
Heal the Body with Reiki,5,27,Kennesaw,United States,60, English,25,10,300
Self Love Tarot Readings,4.91,46,Barcelona,Spain,30, English and Spanish,34,1,55
Positive Side of Tarot’s Negative Cards,,,Adelaide,Australia,60, English,15,,
Sacred cacao ceremony,,,Milano,Italy,90, English,93,30,99
One to One Yoga with Sufi Teachings,5,6,Istanbul,Turkey,60, English,9,3,11
Get to Know the World of Therapeutic Tarot,4.98,55,Playa del Carmen,Mexico,60, Spanish English and French,42,2,43
Astrology to Improve Emotional Health,4.97,37,Miami Beach,United States,60, English,50,9,250
"Cultivating Kindness, Mindfulness Taster",,,Saltash,United Kingdom,120, English,21,24,55
Tarot Reading and Guided Meditation,5,3,Delhi,India,60, English and Hindi,13,30,22
Spiritual Guidance Readings,5,1,Cambridge,United Kingdom,60, English,14,1,14
Yin Yoga Chill,5,1,Dublin,Ireland,60, English,9,10,174
Moon Manifestation Ritual,,,South Bend,United States,60, English,30,10,40
Chakra Healing and Guided Meditation,4.88,8,Delhi,India,60, English,28,30,32
Breathwork Group Session with Embodied Movement,,,Playa del Carmen,Mexico,90, English,32,10,50
Life-changing tarot & oracle reading,,,Milano,Italy,60, English,116,1,116
Self-Care Strategy Session,,,Sydney,Australia,60, English and Spanish,78,,
"Celebrate Diwali (Festival of Lights) and ""Supreme Silence""",5,12,New Delhi,India,30, English,1,30,47
Mind-Body-Breath for Neurodiversity,4.92,26,Seal Beach,United States,75, English,60,6,150
Dream Workshop,5,4,Istanbul,Turkey,60, English and Turkish,27,5,54
Explore Power of the Breath Masterclass,4.97,64,London,United Kingdom,60, English,16,30,153
Discovering Yourself with the Enneagram,5,6,St. Simons Island,United States,60, English,30,30,100
Una cita con el tarot,,,Mallorca Other,Spain,60, English Spanish and French,47,2,70
Somaticsyoga with Aromatherapy,,,Mumbai,India,60, English and Hindi,34,3,67
Green Therapy - Starter Pack,5,5,Lisbona,Portugal,60, Italian and English,10,5,12
Own clear and healthy skin,,,Singapore,Singapore,120, English,89,30,0
Manifesting Desires w/Alchemy and Tarot,,,Los Angeles,United States,90, English,66,6,333
⭐️ Mayan Natal Chart Reading,4.94,32,Tulum,Mexico,90, English and Spanish,66,4,192
Meena Yoga Pranayama & Meditation Class,5,3,Dehradun,India,60, English and Hindi,10,10,40
Astro-Based Qigong-Relaxation-Meditation,5,4,Santa Fe,United States,60, English,12,,
Samsara private yoga class,5,1,Belgrade,Serbia,75, English,23,1,23
Tell A Story With Tarot,5,5,Jersey Shore,United States,60, English,25,1,35
Yoga Nidra & Pranayama with Indian Guru,4.8,5,Kochi,India,60, English,10,10,54
Meditation and Tarot for well-being,5,3,Cluj-Napoca,Romania,60, English,29,5,106
Soul Discovery Meditation & Affirmations,,,Palmerston North,New Zealand,75, English,18,15,142
A Meditative Journey to Find a Treasure of Inner Peace,,,Cocoa Beach,United States,60, English,12,10,80
Sacred Healing Ritual,5,1,Toronto,Canada,60, English,41,,
Private Yoga Advisory,5,66,Barcelona,Spain,60, English and Spanish,47,30,93
Learn the Secrets to a Happy Pregnancy,5,7,Paris,France,60, English French and Italian,174,12,290
Traditional Healing & Houseplants,5,19,New York,United States,60, English and Spanish,25,30,75
Group Guided Meditation for Relaxation,4,1,Sydney,Australia,60, English,14,20,134
"The I Ching Wisdom, Lessons and Practice",4,4,Milano,Italy,90, English French and Italian,6,10,58
Heal with Energy Alignment of the Sacred Fire,5,6,Rio de Janeiro,Brazil,90, English,65,,
Tarot Made Simple,5,1,Adelaide,Australia,120, English,35,8,186
"Yoga and Wellness for Mind, Body & Soul",,,Dehradun,India,60, English and Hindi,10,10,34
Meditate to heal and connect Hearts,5,3,Istanbul,Turkey,60, English,29,5,98
Simple Wall Yoga to Fix Bad Posture,5,3,George Town,Malaysia,60, English Chinese Simplified and Chinese Traditional,18,10,39
Magic and spirituality,5,4,Stockholm,Sweden,60, French and English,24,10,24
Get a Tarot Reading w/a Reiki Master,5,2,Kennesaw,United States,60, English,25,5,300
An introduction to Herbal Medicine,5,1,Woodbridge,United Kingdom,60, English,17,15,50
Healthy & Sustainable Quinoa Burgers,5,1,Mexico City,Mexico,60, English,25,10,148
Energy Healing Oasis,5,15,Folsom,United States,60, English,30,15,60
Heal Stress Through Art Therapy,4.99,76,barcelona ,Spain,60, English and Spanish,41,20,41
Practice Vinyasa Yoga in Costa Rica,5,5,Escazú,Costa Rica,60, Spanish and English,10,10,32
Scrittura creativa come terapia,4.96,28,Rome,Italy,75, Italian,15,3,35
Unique Personal Numerology Consultation,,,New York,United States,120, English,250,1,350
Learn how to meditate - private session,5,1,Olimpia,Brazil,90, English and Portuguese,22,,
Learn Love Language Using Astrology,4.98,41,Miami Beach,United States,60, English,50,9,250
Emotional time with flower remedies,5,14,Rome,Italy,60, English and Italian,17,20,128
Pets & Parents Wellness with Reiki,5,8,Traverse City,United States,60, English,17,4,35
"Nasi goreng de Bali, en français",5,2,Ubud,Indonesia,60, French,23,6,45
Légumes verts à l'indonésienne,5,1,Ubud,Indonesia,60, French,23,6,45
Astrology Natal and Horoscope Reading,5,20,Miami Beach,United States,60, English,199,,
Discover Life Purpose Using Astrology,5,8,Miami Beach,United States,60, English,50,9,250
Easy Vegan Cooking,5,49,Atlanta,United States,90, English,25,30,150
Feel Renewed with Sound-Healing Bodywork,5,3,London Borough of Ealing,United Kingdom,60, English,53,2,83
Shamanic Energy Healing Session,,,Sydney,Australia,90, English,132,,
Magical Soy and Japanese Vegan,4.95,19,Moroyama,Iruma-gun,75, English and Japanese,44,2,88
